127.0.0.1 - - [17/Sep/2016:08:37:39 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/ HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/references/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/references/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/references/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/linked.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/ca1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/ca3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/ca2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:45 -0700] "GET /cricket/resources/images/bat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:46 -0700] "GET /cricket/resources/images/stumps.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:46 -0700] "GET /cricket/resources/images/ball.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:46 -0700] "GET /cricket/220483.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Sep/2016:08:37:46 -0700] "GET /cricket/resources/references/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2016:09:22:10 -0700] "GET /cricket/ HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [17/Sep/2016:09:22:10 -0700] "GET /cricket/220483.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Sep/2016:09:22:23 -0700] "GET /cricket/login.html HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [17/Sep/2016:09:22:23 -0700] "GET /cricket/220483.jpg HTTP/1.1" 404 992
